127.0.0.1 - - [08/Jan/2016:05:15:24 +0530] "GET / HTTP/1.1" 404 994
192.168.0.7 - - [08/Jan/2016:05:29:14 +0530] "GET / HTTP/1.1" 404 994
192.168.0.7 - - [08/Jan/2016:05:29:14 +0530] "GET /HNAP1/ HTTP/1.1" 404 1006
192.168.5.1 - - [08/Jan/2016:05:29:18 +0530] "GET / HTTP/1.1" 404 994
192.168.5.1 - - [08/Jan/2016:05:29:18 +0530] "GET /HNAP1/ HTTP/1.1" 404 1006
192.168.71.1 - - [08/Jan/2016:05:29:20 +0530] "GET / HTTP/1.1" 404 994
192.168.71.1 - - [08/Jan/2016:05:29:20 +0530] "GET /HNAP1/ HTTP/1.1" 404 1006
fe80:0:0:0:40a7:9639:4ccc:60b9%13 - - [08/Jan/2016:05:29:22 +0530] "GET / HTTP/1.1" 404 994
fe80:0:0:0:40a7:9639:4ccc:60b9%13 - - [08/Jan/2016:05:29:22 +0530] "GET /HNAP1/ HTTP/1.1" 404 1006
fe80:0:0:0:b445:922e:3583:1739%21 - - [08/Jan/2016:05:29:25 +0530] "GET / HTTP/1.1" 404 994
fe80:0:0:0:b445:922e:3583:1739%21 - - [08/Jan/2016:05:29:25 +0530] "GET /HNAP1/ HTTP/1.1" 404 1006
fe80:0:0:0:e5bf:8083:b698:f18e%22 - - [08/Jan/2016:05:29:27 +0530] "GET / HTTP/1.1" 404 994
fe80:0:0:0:e5bf:8083:b698:f18e%22 - - [08/Jan/2016:05:29:27 +0530] "GET /HNAP1/ HTTP/1.1" 404 1006
